Reference, Quantity, Value, Footprint, Datasheet, Variant, Distributor, Part Number
D1 ,1,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf","+PIS,-IR","",""
D2 ,1,"LED","LED_THT:LED_D5.0mm","~"
J1 ,1,"Capacitive Sensor","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","+PIS,-IR","",""
J2 ,1,"Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","+PIS,-IR","",""
J3 ,1,"Serial","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","dnp","",""
J4 ,1,"Screw_Terminal_01x04","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal","~","+PIS,-IR","",""
J5 ,1,"Resistive Sensor","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","+PIS,-IR","",""
JP1 ,1,"Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","dnp","",""
K1 ,1,"G5V-1","Relay_THT:Relay_SPDT_Omron_G5V-1","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf","+PIS,-IR","",""
LOGO1 ,1,"Logo_Open_Hardware_Small","Symbol:OSHW-Symbol_6.7x6mm_SilkScreen","~","dnp","",""
LOGO2 ,1,"Logo_Open_Hardware_Small","Symbol:KiCad-Logo_6mm_SilkScreen","~","dnp","",""
Q3 Q1 ,2,"BC547","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","+PIS,-IR","DigiKey","BC547-ND"
R1 R2 R3 ,3,"10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","+PIS,-IR","",""
R4 ,1,"100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
TP1 ,1,"CLK","TestPoint:TestPoint_Pad_D1.5mm","~","dnp","",""
TP2 ,1,"MISO","TestPoint:TestPoint_Pad_D1.5mm","~","dnp","",""
TP3 ,1,"MOSI","TestPoint:TestPoint_Pad_D1.5mm","~","dnp","",""
TP4 ,1,"CS","TestPoint:TestPoint_Pad_D1.5mm","~","dnp","",""
U1 ,1,"NodeMCU1.0(ESP-12E)","Module:NodeMCU_Amica",""
U2 ,1,"TSOP17xx","OptoDevice:Vishay_CAST-3Pin","http://www.micropik.com/PDF/tsop17xx.pdf","+IR,-PIS","",""
U4 ,1,"DHT11","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf","+PIS,-IR","DigiKey","1528-1228-ND"
