Ref,Val,Package,PosX,PosY,Rot,Side
"D1","DF06M","Diode_Bridge_DIP-4_W7.62mm_P5.08mm","142.2400","-104.1400","90.0000","bottom"
"J1","Screw_Terminal_01x04","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","132.0800","-80.6450","0.0000","top"
"J2","Conn_01x01","PinHeader_1x01_P2.54mm_Vertical","151.1300","-125.0950","0.0000","bottom"
"J3","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical","134.6200","-125.0950","90.0000","bottom"
"J5","Conn_01x01","PinHeader_1x01_P2.54mm_Vertical","137.1600","-125.0950","0.0000","bottom"
"LOGO1","Logo_Open_Hardware_Small","OSHW-Symbol_6.7x6mm_SilkScreen","143.5100","-118.1100","90.0000","top"
"LOGO2","Logo_Open_Hardware_Small","KiCad-Logo_6mm_SilkScreen","143.5100","-105.4100","90.0000","top"
"PS1","IRM-02-5","Converter_ACDC_MeanWell_IRM-02-xx_THT","147.3200","-97.1550","270.0000","top"
"Q1","TIC206","TO-220-3_Vertical","142.2400","-86.9950","180.0000","top"
"R1","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","132.0800","-91.4400","0.0000","bottom"
"R2","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","132.0800","-100.3300","270.0000","bottom"
"R3","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","147.3200","-93.9800","180.0000","bottom"
"R4","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","134.6200","-107.9500","0.0000","bottom"
"R5","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","147.3200","-111.7600","90.0000","bottom"
"SYM1","SYM_Flash_Small","Symbol_Highvoltage_Type1_CopperTop_Small","149.8600","-80.6450","0.0000","bottom"
"SYM2","SYM_Flash_Small","Symbol_Highvoltage_Type1_CopperTop_Small","127.6350","-80.6450","0.0000","bottom"
"U1","MOC3021M","DIP-6_W7.62mm","137.1600","-121.9200","90.0000","bottom"
"U2","4N25","DIP-6_W7.62mm","142.2400","-114.3000","270.0000","bottom"
"U3","NodeMCU1.0(ESP-12E)","NodeMCU_Amica_WithMountingHoles","128.2700","-121.9200","0.0000","bottom"
